Interpolation Weights at RHO-contact points:  donor = 01, receiver = 02 

   n     Hweight(1)   Hweight(2)   Hweight(3)   Hweight(4)       SUM       Idg   indxO   indxR    XIdgO       XIrg      XIdgR     Jdg   indxT    ETAdgO     ETArg      ETAdgT 

0000001  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    19    2791    2792   18.50000   18.83333   19.50000    34    2875   33.50000   33.83333   34.50000
0000002  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    19    2791    2792   18.50000   19.16667   19.50000    34    2875   33.50000   33.83333   34.50000
0000003  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    20    2792    2793   19.50000   19.50000   20.50000    34    2876   33.50000   33.83333   34.50000
0000004  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    20    2792    2793   19.50000   19.83333   20.50000    34    2876   33.50000   33.83333   34.50000
0000005  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    20    2792    2793   19.50000   20.16667   20.50000    34    2876   33.50000   33.83333   34.50000
0000006  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    21    2793    2794   20.50000   20.50000   21.50000    34    2877   33.50000   33.83333   34.50000
0000007  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    21    2793    2794   20.50000   20.83333   21.50000    34    2877   33.50000   33.83333   34.50000
0000008  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    21    2793    2794   20.50000   21.16667   21.50000    34    2877   33.50000   33.83333   34.50000
0000009  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    22    2794    2795   21.50000   21.50000   22.50000    34    2878   33.50000   33.83333   34.50000
0000010  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    22    2794    2795   21.50000   21.83333   22.50000    34    2878   33.50000   33.83333   34.50000
0000011  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    22    2794    2795   21.50000   22.16667   22.50000    34    2878   33.50000   33.83333   34.50000
0000012  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    23    2795    2796   22.50000   22.50000   23.50000    34    2879   33.50000   33.83333   34.50000
0000013  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    23    2795    2796   22.50000   22.83333   23.50000    34    2879   33.50000   33.83333   34.50000
0000014  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    23    2795    2796   22.50000   23.16667   23.50000    34    2879   33.50000   33.83333   34.50000
0000015  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    24    2796    2797   23.50000   23.50000   24.50000    34    2880   33.50000   33.83333   34.50000
0000016  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    24    2796    2797   23.50000   23.83333   24.50000    34    2880   33.50000   33.83333   34.50000
0000017  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    24    2796    2797   23.50000   24.16667   24.50000    34    2880   33.50000   33.83333   34.50000
0000018  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    25    2797    2798   24.50000   24.50000   25.50000    34    2881   33.50000   33.83333   34.50000
0000019  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    25    2797    2798   24.50000   24.83333   25.50000    34    2881   33.50000   33.83333   34.50000
0000020  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    25    2797    2798   24.50000   25.16667   25.50000    34    2881   33.50000   33.83333   34.50000
0000021  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    26    2798    2799   25.50000   25.50000   26.50000    34    2882   33.50000   33.83333   34.50000
0000022  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    26    2798    2799   25.50000   25.83333   26.50000    34    2882   33.50000   33.83333   34.50000
0000023  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    26    2798    2799   25.50000   26.16667   26.50000    34    2882   33.50000   33.83333   34.50000
0000024  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    27    2799    2800   26.50000   26.50000   27.50000    34    2883   33.50000   33.83333   34.50000
0000025  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    27    2799    2800   26.50000   26.83333   27.50000    34    2883   33.50000   33.83333   34.50000
0000026  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    27    2799    2800   26.50000   27.16667   27.50000    34    2883   33.50000   33.83333   34.50000
0000027  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    28    2800    2801   27.50000   27.50000   28.50000    34    2884   33.50000   33.83333   34.50000
0000028  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    28    2800    2801   27.50000   27.83333   28.50000    34    2884   33.50000   33.83333   34.50000
0000029  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    28    2800    2801   27.50000   28.16667   28.50000    34    2884   33.50000   33.83333   34.50000
0000030  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    29    2801    2802   28.50000   28.50000   29.50000    34    2885   33.50000   33.83333   34.50000
0000031  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    29    2801    2802   28.50000   28.83333   29.50000    34    2885   33.50000   33.83333   34.50000
0000032  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    29    2801    2802   28.50000   29.16667   29.50000    34    2885   33.50000   33.83333   34.50000
0000033  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    30    2802    2803   29.50000   29.50000   30.50000    34    2886   33.50000   33.83333   34.50000
0000034  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    30    2802    2803   29.50000   29.83333   30.50000    34    2886   33.50000   33.83333   34.50000
0000035  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    30    2802    2803   29.50000   30.16667   30.50000    34    2886   33.50000   33.83333   34.50000
0000036  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    31    2803    2804   30.50000   30.50000   31.50000    34    2887   33.50000   33.83333   34.50000
0000037  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    31    2803    2804   30.50000   30.83333   31.50000    34    2887   33.50000   33.83333   34.50000
0000038  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    31    2803    2804   30.50000   31.16667   31.50000    34    2887   33.50000   33.83333   34.50000
0000039  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    32    2804    2805   31.50000   31.50000   32.50000    34    2888   33.50000   33.83333   34.50000
0000040  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    32    2804    2805   31.50000   31.83333   32.50000    34    2888   33.50000   33.83333   34.50000
0000041  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    32    2804    2805   31.50000   32.16667   32.50000    34    2888   33.50000   33.83333   34.50000
0000042  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    33    2805    2806   32.50000   32.50000   33.50000    34    2889   33.50000   33.83333   34.50000
0000043  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    33    2805    2806   32.50000   32.83333   33.50000    34    2889   33.50000   33.83333   34.50000
0000044  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    33    2805    2806   32.50000   33.16667   33.50000    34    2889   33.50000   33.83333   34.50000
0000045  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    34    2806    2807   33.50000   33.50000   34.50000    34    2890   33.50000   33.83333   34.50000
0000046  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    34    2806    2807   33.50000   33.83333   34.50000    34    2890   33.50000   33.83333   34.50000
0000047  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    34    2806    2807   33.50000   34.16667   34.50000    34    2890   33.50000   33.83333   34.50000
0000048  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    35    2807    2808   34.50000   34.50000   35.50000    34    2891   33.50000   33.83333   34.50000
0000049  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    35    2807    2808   34.50000   34.83333   35.50000    34    2891   33.50000   33.83333   34.50000
0000050  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    35    2807    2808   34.50000   35.16667   35.50000    34    2891   33.50000   33.83333   34.50000
0000051  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    36    2808    2809   35.50000   35.50000   36.50000    34    2892   33.50000   33.83333   34.50000
0000052  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    36    2808    2809   35.50000   35.83333   36.50000    34    2892   33.50000   33.83333   34.50000
0000053  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    36    2808    2809   35.50000   36.16667   36.50000    34    2892   33.50000   33.83333   34.50000
0000054  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    37    2809    2810   36.50000   36.50000   37.50000    34    2893   33.50000   33.83333   34.50000
0000055  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    37    2809    2810   36.50000   36.83333   37.50000    34    2893   33.50000   33.83333   34.50000
0000056  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    37    2809    2810   36.50000   37.16667   37.50000    34    2893   33.50000   33.83333   34.50000
